CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
ANDALUCIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,7
ANDALUCIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,12
ANDALUCIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,6
ANDALUCIA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
ANDALUCIA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,5
ANDALUCIA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,4
ANDALUCIA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,5
ANDALUCIA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
ARAGON,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
ARAGON,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,7
ARAGON,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
ARAGON,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
ARAGON,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,1
ARAGON,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,2
ARAGON,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,2
ARAGON,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
ASTURIAS (PRINCIPADO DE),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
ASTURIAS (PRINCIPADO DE),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,2
ASTURIAS (PRINCIPADO DE),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
ASTURIAS (PRINCIPADO DE),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
ASTURIAS (PRINCIPADO DE),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
ASTURIAS (PRINCIPADO DE),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
ASTURIAS (PRINCIPADO DE),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,1
ASTURIAS (PRINCIPADO DE),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
BALEARS (ILLES),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
BALEARS (ILLES),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,1
BALEARS (ILLES),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,1
BALEARS (ILLES),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
BALEARS (ILLES),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,1
BALEARS (ILLES),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
BALEARS (ILLES),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
BALEARS (ILLES),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,2
CANARIAS,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,1
CANARIAS,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
CANARIAS,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
CANTABRIA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,1
CANTABRIA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
CANTABRIA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
